Region,Site,DecayClass,TreeSpecies,WoodType,mg CO2/g/d,Moisture Content (%),Density (g/cm3),TC %,TKN %,P mg/kg,K mg/kg,Ca mg/kg,Mg mg/kg,Mn mg/kg,C/N,N/P,Cmass,Nmass,Pmass,Kmass,Camass,Mgmass,Mnmass,LowerDiameter,UpperDiameter,Length
3W,3,5,Po,hardwood,1.06,83.81474104,0.086,44.34,0.3739,230.43,306.17,3134.56,291.19,50.59,118.59,16.22734449,693.3232968,5.846494828,0.36031233,0.478743333,4.901361013,0.455319826,0.079105155,15.0,9,184
3E,1,1,Pj,softwood,0.31,53.69586454,0.471,50.29,0.0258,27.96,441.71,1557.79,226.4,90.53,1945.89,9.24435638,4306.695794,2.209440276,0.239441667,3.782681645,13.34048049,1.938826661,0.775273753,11.0,10.2,229
3E,1,1,Pj,softwood,0.23,50,0.478,49.76,0.031,87.95,216.6,1048.65,152.42,88.85,1606.16,3.522813375,4324.63961,2.69420876,0.764373098,1.882469734,9.113812955,1.32468161,0.772194995,10.2,9.9,200.5
3E,1,1,Pj,softwood,0.38,56.75398048,0.438,50.35,0.0265,20.16,272.8,1018.1,224.54,101.2,1899.01,13.15186751,4009.731006,2.11038474,0.160548515,2.172501725,8.10785926,1.788172791,0.805928059,9.9,9.3,223
3E,1,2,Pj,softwood,0.28,51.25707102,0.348,49.52,0.0278,23.23,89.43,1238.84,177.32,75.78,1780.51,11.97335434,3133.296787,1.758999408,0.146984015,0.565853658,7.83855693,1.12196322,0.479485522,17.0,14.5,179
3E,1,2,Pj,softwood,0.4,71.49046794,0.308,49.58,0.039,29.59,150.95,895.78,314.49,81.72,1272.62,13.16567556,2776.507765,2.18402184,0.165705657,0.845328453,5.016418164,1.761161611,0.457636576,13.0,11.7,206.5
3E,1,2,Pj,softwood,0.29,69.45230136,0.309,49.73,0.0338,107.95,51.93,1153.73,203.22,97.89,1471.56,3.130614572,2793.949757,1.898964444,0.606488792,0.291755099,6.481929728,1.141738326,0.549969318,14.5,13,209.5
3E,1,3,Pj,softwood,0.73,58.56079404,0.302,50.05,0.0799,52.88,181.3,1468.14,246.55,86.58,626.54,15.10475347,2748.227482,4.387280236,0.290362176,0.995511773,8.061503887,1.353797174,0.475407663,9.9,9.5,169
3E,1,3,Pj,softwood,1.28,73.63304982,0.242,48.92,0.0935,145.94,165.48,1467.81,276.92,111.22,523.15,6.407311902,2152.501525,4.11404114,0.642142421,0.728119281,6.458428584,1.218460184,0.489372894,9.5,8.3,183
3E,1,3,Pj,softwood,0.99,61.91709845,0.325,49.88,0.0288,10,269.43,707.67,162.54,48.11,1732.11,28.79713347,2947.48402,1.7018352,0.0590915,1.592102285,4.181728181,0.960473241,0.284289207,12.0,11.5,165
3E,1,4,Pj,softwood,1.09,72.4361949,0.205,52.52,0.1136,39.99,180.8,1445.09,255.28,106.21,462.33,28.40947443,1957.583212,4.23422416,0.149055127,0.673897648,5.386298408,0.951507697,0.395877595,10.1,9.5,196
3E,1,4,Pj,softwood,0.96,57.9658606,0.075,49.19,0.2552,151.38,363.04,4015.19,768.62,416.53,192.76,16.8573537,670.779435,3.4800348,0.206429337,0.495059496,5.475313844,1.048128663,0.568001135,11.8,9.8,139
3E,1,4,Pj,softwood,0.64,79.17077986,0.083,48.66,0.1595,72.53,615.19,2697.69,564.62,409.29,305.03,21.99337397,734.3309796,2.40702407,0.109455458,0.92838692,4.071100165,0.85207143,0.617661995,9.8,8.9,168.5
3E,1,5,Pj,softwood,1.54,87.63094279,0.15,50.11,0.143,104.59,258.17,828.01,170.17,52.2,350.53,13.66837501,1366.65003,3.900039,0.285248307,0.704107041,2.258231673,0.464104641,0.14236506,10.5,8.2,152
3E,1,5,Pj,softwood,1.59,92.58046918,0.179,49.85,0.1037,225.06,181.2,1111.73,289.21,73.86,480.89,4.605824281,1622.407133,3.374997386,0.732475325,0.589729534,3.618212,0.941256503,0.240383131,12.9,10.5,163
3E,1,5,Pj,softwood,0.59,74.45721584,0.147,51.92,0.1403,96.18,228.5,1323.07,189.35,38.21,370.01,14.5898041,1387.693877,3.749873862,0.25706548,0.610724289,3.536240635,0.50608597,0.10212593,21.5,17,136
3E,1,1,Po,hardwood,0.63,65.12105047,0.355,48.72,0.0784,152.92,1630.74,4471.51,504.28,9.58,621.17,5.128894765,3144.685992,5.06041424,0.987038961,10.52579071,28.86185316,3.254930731,0.061835164,11.5,10.6,192
3E,1,1,Po,hardwood,0.79,54.74452555,0.387,48.06,0.0704,136.71,1204.97,4735.68,511.73,16.21,683.05,5.146820124,3381.71018,4.953649536,0.961950892,8.478691877,33.32229977,3.600754371,0.114060595,9.7,9,186
